"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","MUAC","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","6347694","0","0","0","0.2","0.2","0.2","35.3","35.2","35.3","6.8","6.8","6.8","0.3","0.3","0.3","0.61","0.96"
" 3-5","279725","0","0","0","1.6","1.6","1.6","25.6","25.4","25.7","0","0","0","0","0","0","0.38","0.87"
" 6-11","707479","0","0","0","0","0","0","32.4","32.2","32.5","4.6","4.6","4.7","0","0","0","0.52","0.97"
" 12-23","1477755","0","0","0","0","0","0","38.6","38.5","38.7","10.9","10.8","10.9","0","0","0","0.74","0.97"
" 24-35","1159162","0","0","0","0.5","0.5","0.5","39.3","39.3","39.4","14.7","14.6","14.8","0.9","0.9","0.9","0.63","1.14"
" 36-47","1069326","0","0","0","0","0","0","29.4","29.3","29.5","0","0","0","0","0","0","0.42","0.83"
" 48-60","1654247","0","0","0","0","0","0","36.2","36.1","36.2","4","4","4","0.5","0.5","0.5","0.69","0.85"
"","Triceps ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","6290524","0.3","0.3","0.3","1.2","1.2","1.2","46.8","46.7","46.8","15.5","15.5","15.6","2.7","2.7","2.7","0.85","1.16"
" 3-5","279725","0","0","0","0","0","0","35","34.8","35.1","10.7","10.6","10.8","3","3","3.1","0.62","0.94"
" 6-11","707479","0","0","0","0","0","0","63.3","63.1","63.4","25.7","25.6","25.8","3.8","3.7","3.8","1.39","0.98"
" 12-23","1443106","0","0","0","0","0","0","49.9","49.8","50","26.4","26.4","26.5","5.2","5.1","5.2","1.06","1.24"
" 24-35","1148861","1.7","1.7","1.7","1.7","1.7","1.7","52.7","52.6","52.8","26.2","26.1","26.2","4.6","4.6","4.6","0.95","1.26"
" 36-47","1057105","0","0","0","0","0","0","49.1","49","49.2","3.7","3.6","3.7","0","0","0","0.66","1.05"
" 48-60","1654247","0","0","0","3.3","3.3","3.3","33.4","33.3","33.5","2.7","2.7","2.7","0.5","0.5","0.5","0.51","1.04"
"","Subscapular ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","6237274","0.7","0.7","0.7","2.1","2.1","2.1","30.1","30","30.1","11.2","11.2","11.2","1.3","1.3","1.3","0.37","1.24"
" 3-5","268349","0","0","0","10.9","10.8","11","25.2","25.1","25.4","9.2","9","9.3","0","0","0","-0.04","1.38"
" 6-11","699009","2.2","2.2","2.3","2.2","2.2","2.3","35.5","35.4","35.6","11.1","11.1","11.2","1.6","1.6","1.7","0.51","1.28"
" 12-23","1420786","0","0","0","0","0","0","28.9","28.8","29","10.7","10.7","10.8","2.9","2.8","2.9","0.47","1.15"
" 24-35","1137778","0.5","0.5","0.5","0.5","0.5","0.5","30","29.9","30.1","17.9","17.9","18","1.7","1.7","1.7","0.53","1.25"
" 36-47","1057105","2.3","2.3","2.3","2.3","2.3","2.3","42.7","42.6","42.7","14.8","14.7","14.9","0","0","0","0.53","1.32"
" 48-60","1654247","0","0","0","3.3","3.3","3.3","21.6","21.5","21.7","5.1","5","5.1","0.5","0.5","0.5","0.06","1.13"
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Head ","circumference","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","432152","0","0","0","0.4","0.3","0.4","40.3","40.1","40.4","19.3","19.2","19.4","1.7","1.6","1.7","0.7","1.31"
" 0-5","360647","0","0","0","0.4","0.4","0.4","47.7","47.5","47.8","22.5","22.4","22.7","2","1.9","2","0.82","1.33"
" 6-11","71505","0","0","0","0","0","0","2.9","2.8","3","2.9","2.8","3","0","0","0","0.09","0.96"
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","MUAC","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","3292215","0","0","0","0","0","0","33.8","33.8","33.9","5.3","5.2","5.3","0.3","0.3","0.3","0.55","0.96"
" 3-5","193894","0","0","0","0","0","0","14.9","14.8","15.1","0","0","0","0","0","0","0.25","0.79"
" 6-11","318197","0","0","0","0","0","0","32.4","32.3","32.6","4.8","4.7","4.9","0","0","0","0.55","0.94"
" 12-23","788939","0","0","0","0","0","0","33.4","33.3","33.5","8.2","8.1","8.2","0","0","0","0.55","0.98"
" 24-35","677468","0","0","0","0","0","0","35.9","35.8","36","5.2","5.2","5.3","1.5","1.5","1.5","0.42","1.05"
" 36-47","669419","0","0","0","0","0","0","37.7","37.5","37.8","0","0","0","0","0","0","0.5","0.89"
" 48-60","644297","0","0","0","0","0","0","34.6","34.4","34.7","9.1","9","9.2","0","0","0","0.82","0.88"
"","Triceps ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","3281914","0","0","0","0","0","0","46","45.9","46","11.2","11.2","11.3","1.1","1.1","1.1","0.81","1.03"
" 3-5","193894","0","0","0","0","0","0","36.5","36.2","36.7","6.5","6.4","6.6","3.1","3.1","3.2","0.61","0.86"
" 6-11","318197","0","0","0","0","0","0","52.1","51.9","52.2","25.1","24.9","25.2","4.9","4.9","5","1.25","0.94"
" 12-23","788939","0","0","0","0","0","0","43.5","43.4","43.6","16.4","16.3","16.5","1.7","1.6","1.7","0.91","1.1"
" 24-35","667167","0","0","0","0","0","0","54.8","54.6","54.9","18.5","18.4","18.6","0","0","0","0.87","1.05"
" 36-47","669419","0","0","0","0","0","0","50.8","50.7","51","1.5","1.5","1.5","0","0","0","0.67","1"
" 48-60","644297","0","0","0","0","0","0","34.8","34.7","34.9","2","2","2","0","0","0","0.58","0.94"
"","Subscapular ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","3265308","0.5","0.5","0.5","1.2","1.2","1.2","27.7","27.7","27.8","10.8","10.8","10.9","0.6","0.6","0.6","0.3","1.21"
" 3-5","182518","0","0","0","13.5","13.4","13.7","32.4","32.1","32.6","10","9.8","10.1","0","0","0","-0.06","1.5"
" 6-11","318197","4.9","4.8","5","4.9","4.8","5","25","24.9","25.2","15.5","15.3","15.6","1.7","1.6","1.7","0.25","1.49"
" 12-23","788939","0","0","0","0","0","0","11.7","11.6","11.8","3.5","3.5","3.6","0","0","0","0.09","0.97"
" 24-35","661937","0","0","0","0","0","0","28.8","28.7","28.9","15.2","15.1","15.3","2.1","2.1","2.1","0.48","1.24"
" 36-47","669419","0","0","0","0","0","0","51.4","51.3","51.5","20.2","20.1","20.3","0","0","0","0.69","1.27"
" 48-60","644297","0","0","0","0","0","0","21.7","21.6","21.8","3.4","3.3","3.4","0","0","0","0.09","0.95"
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Head ","circumference","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","278892","0","0","0","6.8","6.7","6.9","23.6","23.4","23.7","7.2","7.1","7.3","0","0","0","0.52","1.19"
" 0-5","187511","0","0","0","0","0","0","23.4","23.2","23.5","10.7","10.5","10.8","0","0","0","0.68","0.95"
" 6-11","91382","0","0","0","20.6","20.4","20.9","24","23.7","24.2","0","0","0","0","0","0","0.18","1.52"
" 12-23","0", , , , , , , , , , , , , , , , , 
" 24-35","0", , , , , , , , , , , , , , , , , 
" 36-47","0", , , , , , , , , , , , , , , , , 
" 48-60","0", , , , , , , , , , , , , , , , , 
"","MUAC","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","3055480","0","0","0","0.3","0.3","0.3","36.9","36.8","36.9","8.4","8.4","8.4","0.3","0.2","0.3","0.69","0.95"
" 3-5","85831","0","0","0","5.2","5.1","5.4","49.6","49.3","50","0","0","0","0","0","0","0.66","0.95"
" 6-11","389282","0","0","0","0","0","0","32.3","32.1","32.4","4.4","4.4","4.5","0","0","0","0.5","0.99"
" 12-23","688816","0","0","0","0","0","0","44.6","44.4","44.7","13.9","13.9","14","0","0","0","0.96","0.91"
" 24-35","481695","0","0","0","1.2","1.2","1.3","44.2","44.1","44.3","28","27.9","28.2","0","0","0","0.94","1.2"
" 36-47","399906","0","0","0","0","0","0","15.6","15.5","15.7","0","0","0","0","0","0","0.27","0.71"
" 48-60","1009949","0","0","0","0","0","0","37.2","37.1","37.3","0.8","0.7","0.8","0.8","0.7","0.8","0.62","0.82"
"","Triceps ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","3008610","0.7","0.6","0.7","2.5","2.5","2.5","47.6","47.6","47.7","20.2","20.2","20.3","4.5","4.5","4.5","0.9","1.28"
" 3-5","85831","0","0","0","0","0","0","31.6","31.3","31.9","20","19.8","20.3","2.7","2.6","2.8","0.66","1.1"
" 6-11","389282","0","0","0","0","0","0","72.4","72.3","72.5","26.2","26.1","26.4","2.8","2.8","2.9","1.5","0.99"
" 12-23","654167","0","0","0","0","0","0","57.6","57.5","57.7","38.6","38.4","38.7","9.4","9.3","9.4","1.25","1.37"
" 24-35","481695","4.1","4.1","4.2","4.1","4.1","4.2","49.9","49.7","50","36.7","36.6","36.9","11","10.9","11","1.06","1.5"
" 36-47","387686","0","0","0","0","0","0","46","45.9","46.2","7.4","7.3","7.4","0","0","0","0.64","1.12"
" 48-60","1009949","0","0","0","5.4","5.4","5.4","32.5","32.4","32.6","3.2","3.1","3.2","0.8","0.7","0.8","0.47","1.1"
"","Subscapular ","skinfold","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 3-60","2971966","1","1","1","3","3","3","32.7","32.6","32.7","11.6","11.6","11.7","2","2","2","0.44","1.27"
" 3-5","85831","0","0","0","5.2","5.1","5.4","10.1","9.9","10.3","7.4","7.3","7.6","0","0","0","0","1.1"
" 6-11","380811","0","0","0","0","0","0","44.3","44.1","44.4","7.5","7.4","7.6","1.6","1.6","1.7","0.72","1.03"
" 12-23","631847","0","0","0","0","0","0","50.3","50.2","50.4","19.7","19.6","19.8","6.5","6.4","6.5","0.95","1.17"
" 24-35","475842","1.3","1.2","1.3","1.3","1.2","1.3","31.7","31.6","31.8","21.7","21.6","21.8","1.1","1.1","1.1","0.61","1.27"
" 36-47","387686","6.3","6.2","6.4","6.3","6.2","6.4","27.6","27.4","27.7","5.4","5.3","5.5","0","0","0","0.26","1.38"
" 48-60","1009949","0","0","0","5.4","5.4","5.4","21.5","21.5","21.6","6.2","6.1","6.2","0.8","0.7","0.8","0.05","1.22"
